# Published file sizes, for display only -- nothing depends on them,
# so a file added upstream needs no rebuild. Refreshed from the GitHub
# contents API (the one fact in this catalog that no manifest carries);
# ASCII-sorted by name within a scope, the order the emitted tables
# must keep.
#
# scope is <source>/<subpath>: the directory the file lives in.
#
# scope	name	size
InfiniumAnnotation/EPIC	EPIC.hg38.coord.tsv.gz	5505138
InfiniumAnnotation/EPIC	EPIC.hg38.mask.cm	365760
InfiniumAnnotation/EPIC	EPIC.hg38.mask.cm.idx	733
InfiniumAnnotation/EPIC	EPIC.hg38.snp.tsv.gz	1776995
InfiniumAnnotation/EPIC	EPIC.ordering.tsv.gz	7756709
InfiniumAnnotation/EPIC	EPIC.typeI_ext.tsv.gz	91446
InfiniumAnnotation/EPIC/KYCG	ABCompartment.20220911.cm	401447
InfiniumAnnotation/EPIC/KYCG	ABCompartment.20220911.cm.idx	79
InfiniumAnnotation/EPIC/KYCG	Blacklist.20220304.cm	1024
InfiniumAnnotation/EPIC/KYCG	CGI.20220904.cm	320296
InfiniumAnnotation/EPIC/KYCG	CGI.20220904.cm.idx	64
InfiniumAnnotation/EPIC/KYCG	CTCFbind.20220911.cm	38289
InfiniumAnnotation/EPIC/KYCG	ChromHMM.20220303.cm	472684
InfiniumAnnotation/EPIC/KYCG	HM.20221013.cm	2365502
InfiniumAnnotation/EPIC/KYCG	HM.20221013.cm.idx	1698
InfiniumAnnotation/EPIC/KYCG	ImprintingDMR.20220818.cm	2581
InfiniumAnnotation/EPIC/KYCG	InfiniumChemistry.cm	170333
InfiniumAnnotation/EPIC/KYCG	MetagenePC.20220911.cm	1877298
InfiniumAnnotation/EPIC/KYCG	MetagenePC.20220911.cm.idx	762
InfiniumAnnotation/EPIC/KYCG	PMD.20220911.cm	195686
InfiniumAnnotation/EPIC/KYCG	PMD.20220911.cm.idx	33
InfiniumAnnotation/EPIC/KYCG	ProbeType.cm	99
InfiniumAnnotation/EPIC/KYCG	REMCChromHMM.20220911.cm	470923
InfiniumAnnotation/EPIC/KYCG	TFBSrm.20221005.cm	36004353
InfiniumAnnotation/EPIC/KYCG	TFBSrm.20221005.cm.idx	23486
InfiniumAnnotation/EPIC/KYCG	Tetranuc2.20220321.cm	283378
InfiniumAnnotation/EPIC/KYCG	nFlankCG.20220321.cm	660394
InfiniumAnnotation/EPIC/KYCG	nFlankCG.20220321.cm.idx	504
InfiniumAnnotation/EPIC/KYCG	rmsk1.20220307.cm	195568
InfiniumAnnotation/EPIC/KYCG	rmsk1.20220307.cm.idx	352
InfiniumAnnotation/EPIC/KYCG	rmsk2.20220321.cm	278780
InfiniumAnnotation/EPIC/KYCG	rmsk2.20220321.cm.idx	1103
InfiniumAnnotation/EPICv2	EPICv2.hg38.coord.tsv.gz	5728827
InfiniumAnnotation/EPICv2	EPICv2.hg38.mask.cm	301037
InfiniumAnnotation/EPICv2	EPICv2.hg38.mask.cm.idx	760
InfiniumAnnotation/EPICv2	EPICv2.hg38.snp.tsv.gz	1631893
InfiniumAnnotation/EPICv2	EPICv2.ordering.tsv.gz	8546436
InfiniumAnnotation/EPICv2	EPICv2.typeI_ext.tsv.gz	89958
InfiniumAnnotation/EPICv2/KYCG	ABCompartment.20220911.cm	429646
InfiniumAnnotation/EPICv2/KYCG	ABCompartment.20220911.cm.idx	79
InfiniumAnnotation/EPICv2/KYCG	CGI.20220904.cm	334456
InfiniumAnnotation/EPICv2/KYCG	CGI.20220904.cm.idx	64
InfiniumAnnotation/EPICv2/KYCG	CTCFbind.20220911.cm	43704
InfiniumAnnotation/EPICv2/KYCG	ChromHMM.20220303.cm	497071
InfiniumAnnotation/EPICv2/KYCG	HM.20221013.cm	2435825
InfiniumAnnotation/EPICv2/KYCG	HM.20221013.cm.idx	1699
InfiniumAnnotation/EPICv2/KYCG	ImprintingDMR.20220818.cm	2455
InfiniumAnnotation/EPICv2/KYCG	InfiniumChemistry.cm	161445
InfiniumAnnotation/EPICv2/KYCG	MetagenePC.20220911.cm	2011122
InfiniumAnnotation/EPICv2/KYCG	MetagenePC.20220911.cm.idx	764
InfiniumAnnotation/EPICv2/KYCG	PMD.20220911.cm	211343
InfiniumAnnotation/EPICv2/KYCG	PMD.20220911.cm.idx	33
InfiniumAnnotation/EPICv2/KYCG	ProbeType.cm	105
InfiniumAnnotation/EPICv2/KYCG	REMCChromHMM.20220911.cm	496042
InfiniumAnnotation/EPICv2/KYCG	TFBSrm.20221005.cm	37609558
InfiniumAnnotation/EPICv2/KYCG	TFBSrm.20221005.cm.idx	23502
InfiniumAnnotation/EPICv2/KYCG	Tetranuc2.20220321.cm	307945
InfiniumAnnotation/EPICv2/KYCG	nFlankCG.20220321.cm	643034
InfiniumAnnotation/EPICv2/KYCG	rmsk1.20220307.cm	211617
InfiniumAnnotation/EPICv2/KYCG	rmsk1.20220307.cm.idx	352
InfiniumAnnotation/EPICv2/KYCG	rmsk2.20220321.cm	302615
InfiniumAnnotation/EPICv2/KYCG	rmsk2.20220321.cm.idx	1104
InfiniumAnnotation/HM27	HM27.hg38.coord.tsv.gz	173651
InfiniumAnnotation/HM27	HM27.hg38.mask.cm	7969
InfiniumAnnotation/HM27	HM27.hg38.mask.cm.idx	466
InfiniumAnnotation/HM27	HM27.hg38.snp.tsv.gz	358753
InfiniumAnnotation/HM27	HM27.ordering.tsv.gz	305538
InfiniumAnnotation/HM27	HM27.typeI_ext.tsv.gz	3432
InfiniumAnnotation/HM27/KYCG	ABCompartment.20220911.cm	12334
InfiniumAnnotation/HM27/KYCG	CGI.20220904.cm	10623
InfiniumAnnotation/HM27/KYCG	CGI.20220904.cm.idx	59
InfiniumAnnotation/HM27/KYCG	CTCFbind.20220911.cm	1619
InfiniumAnnotation/HM27/KYCG	ChromHMM.20220303.cm	14712
InfiniumAnnotation/HM27/KYCG	HM.20221013.cm	143275
