# Published file sizes for the KYCGKB whole-genome collections, for
# display only -- nothing depends on them, so a set added upstream needs
# no rebuild. Refreshed from the GitHub contents API (the one fact in
# this catalog that no manifest carries); ASCII-sorted by name, which is
# the order the emitted table must keep.
#
# genome	name	size
hg38	ABCompartment.20220911.cm	9763
hg38	Blacklist.20220304.cm	3142
hg38	CGI.20220904.cm	206746
hg38	CTCFbind.20220911.cm	163001
hg38	Centromere.20221129.cm	347
hg38	ChromHMM.20220303.cm	529428
hg38	ChromHMMfullStack.20230515.cm	7086738
hg38	Chromosome.20221129.cm	298
hg38	ChromosomeXY.20230901.cm	99
hg38	HM.20221013.cm	7540196
hg38	HM.20221013.cm.idx	1741
hg38	ImprintingDMR.20220818.cm	907
hg38	IntermediateMeth.20221121.cm	26683
hg38	IntermediateMethS.20221121.cm	18515
hg38	MetagenePC.20220911.cm	2971260
hg38	MetagenePC.20220911.cm.idx	712
hg38	PMD.20220911.cm	18325
hg38	REMCChromHMM.20220911.cm	490826
hg38	RoadMapNegGeneExpCpG.20220814.cm	463285
hg38	RoadMapPosGeneExpCpG.20220814.cm	570095
hg38	TFBS.20220921.cm	90986293
hg38	TFBS.20220921.cm.idx	27056
hg38	TFBSrm.20221005.cm	82231076
hg38	TFBSrm.20221005.cm.idx	23731
hg38	Tetranuc2.20220321.cm	9086753
hg38	TiSigBLUEPRINT.20221209.cm	26949077
hg38	TiSigBLUEPRINT.20221209.cm.idx	22418
hg38	TiSigBrain.20221209.cm	52404903
hg38	TiSigBrain.20221209.cm.idx	13414
hg38	TiSigLoyfer.20221209.cm	28806752
hg38	TiSigLoyfer.20221209.cm.idx	16421
hg38	Win100k.20220228.cm	169101
hg38	XCILinkedWGBS.20221121.cm	12552
hg38	XCILinkedWGBSSorted.20221121.cm	16744
hg38	cpg_nocontig.cr	30318472
hg38	nFlankCG.20220321.cm	11529528
hg38	nFlankCG100.20231025.cm	10120992
hg38	nFlankCG50.20231025.cm	7572753
hg38	rmsk1.20220307.cm	4645990
hg38	rmsk1.20220307.cm.idx	361
hg38	rmsk2.20220321.cm	5749686
hg38	rmsk2.20220321.cm.idx	1212
mm10	Blacklist.20220304.cm	636
mm10	CGI.20220904.cm	122892
mm10	ChromHMM.20220414.cm	877986
mm10	ChromHMMfullStack.20231222.cm	6409786
mm10	Chromosome.20240119.cm	269
mm10	ChromosomeXY.20230901.cm	95
mm10	EnsRegBuild.20220710.cm	1019167
mm10	EnsRegBuild.20220710.cm.idx	146
mm10	EvoCons.20220314.cm	115742
mm10	GCfrac.20220323.cm	19989460
mm10	GeneFeatures.20220710.cm	1476841
mm10	GeneFeatures.20220710.cm.idx	123
mm10	HM.20221013.cm	5896537
mm10	HM.20221013.cm.idx	1632
mm10	MetagenePC.20220911.cm	2487844
mm10	MetagenePC.20220911.cm.idx	709
mm10	PMD.20220911.cm	16659
mm10	TFBS.20220922.cm	56669024
mm10	TFBS.20220922.cm.idx	13700
mm10	TFBSFreq.20220922.cm	3895475
mm10	TFBSrm.20221005.cm	53395935
mm10	TFBSrm.20221005.cm.idx	12454
mm10	Tetranuc2.20220321.cm	6838695
mm10	Tetranuc4.20220321.cm	13157336
mm10	UCSCEnsemblRegulatory.20220727.cm	639680
mm10	Win100k.20220228.cm	154709
mm10	Win1m.20230709.cm	16962
mm10	Win30k.20220228.cm	513471
mm10	cpg_nocontig.cr	23825886
mm10	kmer10.20231109.cm	52445331
mm10	nFlankCG.20220321.cm	7763796
mm10	nFlankCG100.20231025.cm	6787893
mm10	nFlankCG50.20231025.cm	5037900
mm10	rmsk1.20220321.cm	3321298
mm10	rmsk1.20220321.cm.idx	374
mm10	rmsk2.20220321.cm	4623244
mm10	rmsk2.20220321.cm.idx	1152
