# Anchors a store directory may already carry, so a store filled before
# a change reads OLD_TAG and upgrades without -f rather than OTHER_TAG.
# Seeded 2026-09-19 from the last registry generated against cached
# upstream manifests; appended to by generation whenever a directory's
# anchor changes. Fill-only; nothing here is ever rewritten.
#
# store_dir	source@tag	anchor
EPIC	zhou-lab/InfiniumAnnotation@v8.1	b97d9481f07b5f39dc6424b55d686ba9baac66b80e6bfd11615a1db9ebb3b629
EPIC/KYCG	zhou-lab/InfiniumAnnotation@v8.1	1678294f10134013db3fe274dfeb5243cd5e4352d40e01ef50528c91ac3b077b
EPICv2	zhou-lab/InfiniumAnnotation@v8.1	3a0eb8523b1a1de3194846afaeff72d9ee907edae271952e34809b1f7dce5e30
EPICv2/KYCG	zhou-lab/InfiniumAnnotation@v8.1	82c17bbc0b59fbf96545ea029cdc089a19214395d8d3f6e6826ee161b8b8eb17
HM27	zhou-lab/InfiniumAnnotation@v8.1	2b070eb62e6818410bea118da3881ff211b78857fad73078a0403e8b9303eec8
HM27/KYCG	zhou-lab/InfiniumAnnotation@v8.1	450bdb2bb74d152ba8d8b96646e6976122ebe00900d41e7aa67ebcadcf739b68
HM450	zhou-lab/InfiniumAnnotation@v8.1	8ea679ca36fb0c0b1d4acce2843c9534b2a3dfca2656cd182187178d47dcac8a
HM450/KYCG	zhou-lab/InfiniumAnnotation@v8.1	27e4d8ef73bcd1c8b75ddb0fc203e17218bd5de1b05e0bfc847b217621c308bf
Mammal40	zhou-lab/InfiniumAnnotation@v8.1	f97bfab4f14ea58408cfc677ac8dfec20b5d54d2ec4b87700e8076b64745d7c2
Mammal40/KYCG	zhou-lab/InfiniumAnnotation@v8.1	f49d45d83eac05f556595980aadba6cce39ee64172050f065a7b2137b73ea351
MM285	zhou-lab/InfiniumAnnotation@v8.1	c5d4d485c9b076bab7bedee903ba838d087a58f2d280d3300cc25c9ead6da0c4
MM285/KYCG	zhou-lab/InfiniumAnnotation@v8.1	2cb53129949cfce5f8149c6ab1321069f30a236757a3f4095c2e5e00b3c141e9
MSA	zhou-lab/InfiniumAnnotation@v8.1	16e0e3204cec42935a690860c849b8d259f29d9e634164e68f395607948a7c40
MSA/KYCG	zhou-lab/InfiniumAnnotation@v8.1	cc63264354f71f436e7aa4e7b9820430461e6923d657c54a24bb03cca4682db5
hg38/KYCG	zhou-lab/KYCGKB_hg38@v2	8e0594ade2936a7b837306cec8e4d29bb9028a6a3be5b2cdbd372af7c16f650a
mm10/KYCG	zhou-lab/KYCGKB_mm10@v2	fbb75f8198a731f3ea2de7d2fb65e92c84f4e0f0e2ff335b9ff2e2000606f289
mm39/KYCG	zhou-lab/KYCGKB_mm39@v2	0dfa2114daa79c8c5fabae2d4795d250266d48f7e941fd99e81cf459e72ead64
hg38	zhou-lab/genomes@v4	4f05879f25a109b99f783d34e5f8144fc7dff206677560ef75a311c78aa16ef7
hg38	zhou-lab/genomes@v3	1d3cd57e1e6a5bfd504730b925d167ccd444d051ea004e0d09853618fa770507
mm10	zhou-lab/genomes@v4	3e38c026a48c733e72f87f55cb0b8101f437b9b651ec2f4793031c49af73e86a
mm10	zhou-lab/genomes@v3	0f3ea46ec5ed2408eb9e0579db074fce1f6aba60049b8d11e6e0ab37d5a1c539
mm39	zhou-lab/genomes@v4	9e75fd99c24397dbe7b019fecc3280f8b70cae3aef392a6e70e7683c71660e94
mm39	zhou-lab/genomes@v3	50c5eb9a405d110182c75edfd87d5fff40345888cd86bd4bf5166573efac9727
hg38/data	zhou-lab/methscope_data@v4	25e22ae2c215bad9b1018da37675b7fea5b275189d8022db9d2b90fcba14290c
hg38/data	zhou-lab/methscope_data@v3	150e6ae8b929e59e5b49cec241683abe6e20614bc2d29bc00f083ee01da7e19b
hg38/models	hf:zhou-lab/methscope@v11	c46daaa43888ebe9280972561c05ef8e519645806f4761f19677d46a756eb172
hg38/models	hf:zhou-lab/methscope@v1	6d1c5db5a545ffef909b734a9e9eeb1fed3922630aa0e026e063c8969ae32de5
hg38/models	hf:zhou-lab/methscope@v10	312398ef131cc7686e013a8659207cccc641d007aae5965c947b15a00f095337
hg38/models	hf:zhou-lab/methscope@v2	219d549b9020bb418199bb7f3c4884798bf68c65f82659495493c2fff8ade6e7
hg38/models	hf:zhou-lab/methscope@v3	88a4933866332ff63d95b08457fcb2ca772a6302e172b7f8c681c25ed8be0b6d
hg38/models	hf:zhou-lab/methscope@v4	d605a8265c107c5a5aa0d005eed32955b5ddeff54cfa55359fd952a52abb5dad
hg38/models	hf:zhou-lab/methscope@v5	3e1a6a51226e80c696c4149f620030a83d3cd6ac96bc74a74a95852b68180eb0
hg38/models	hf:zhou-lab/methscope@v6	ad2cfa7d9d467d0900b81d27fc9d555c5863bb2b4ed16851f3ba23b8d4351180
hg38/models	hf:zhou-lab/methscope@v7	188fa1daac6b0068ae4a71b366b51a6c3c1c39129cdfb9b9cff9637105e347c9
hg38/models	hf:zhou-lab/methscope@v8	27a6275afab23c6777fbf3cb85bbdf39beeb70d6f35cdf25777c12491bba73a7
hg38/models	hf:zhou-lab/methscope@v9	df7bddc75d685dc55d70f8aebf2cfd431adf016ab005a5ea9020626a363175b6
mm10/models	hf:zhou-lab/methscope@v11	c46daaa43888ebe9280972561c05ef8e519645806f4761f19677d46a756eb172
mm10/models	hf:zhou-lab/methscope@v1	6d1c5db5a545ffef909b734a9e9eeb1fed3922630aa0e026e063c8969ae32de5
mm10/models	hf:zhou-lab/methscope@v10	312398ef131cc7686e013a8659207cccc641d007aae5965c947b15a00f095337
mm10/models	hf:zhou-lab/methscope@v2	219d549b9020bb418199bb7f3c4884798bf68c65f82659495493c2fff8ade6e7
mm10/models	hf:zhou-lab/methscope@v3	88a4933866332ff63d95b08457fcb2ca772a6302e172b7f8c681c25ed8be0b6d
mm10/models	hf:zhou-lab/methscope@v4	d605a8265c107c5a5aa0d005eed32955b5ddeff54cfa55359fd952a52abb5dad
