# YAME's registry: one row per file the suite can fetch.
#
# key          source@tag:remote_path. source is <org>/<repo> on GitHub, or
#              hf:<org>/<repo> on HuggingFace; tag is the immutable upstream
#              tag; remote_path is the path within that tag. Unique.
# store_path   where the file lands under the store root, and its place in
#              the browser tree. Unique. Decoupled from remote_path.
# sha256, size filled by --refresh from the tag's manifest and the host API,
#              then verified on every later run; never overwritten.
# rows, kind   only on the files that define a row space (an ordering, a
#              cpg_nocontig.cr): the probe or CpG count, and genome|array.
# recommend    yes when the browser's default selection includes it.
# title, description, source, citation
#              prose; {name} references dictionary.tsv.
#
# Every row in a store directory carries the same source@tag (checked at
# generation). Rows within a directory keep upstream's manifest order, so a
# directory that is a 1:1 copy of an upstream one gets a byte-identical
# manifest. The table is the authority for what is offered: a file upstream
# with no row here is not offered.
#
# key	store_path	sha256	size	rows	kind	recommend	title	description	source	citation
zhou-lab/InfiniumAnnotation@v8.1:EPIC/EPIC.ordering.tsv.gz	EPIC/EPIC.ordering.tsv.gz	a55f9587ec0228406bb731a56bebb54bbde7f898d53c2afcfdd50b1b3e950d01	7756709	866553	array	yes	Probe ordering	{ordering}	{src_infiniumannotation}	
zhou-lab/InfiniumAnnotation@v8.1:EPIC/EPIC.hg38.coord.tsv.gz	EPIC/EPIC.hg38.coord.tsv.gz	08904e7dd06f0df739951eec6b672723021f2a25d704ead436145eff650703e7	5505138			yes	Probe coordinates	{coord}	{src_infiniumannotation_2}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/EPIC.hg38.snp.tsv.gz	EPIC/EPIC.hg38.snp.tsv.gz	f4310e5314013dc83328600a9bcb0b1e0a544dc6e7d8bd0603a8a5a941885b4d	1776995				SNP overlap	{snp}	{src_infiniumannotation_3}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/EPIC.typeI_ext.tsv.gz	EPIC/EPIC.typeI_ext.tsv.gz	e2ecbe9c7bc7610a298427bf623b9c5f881ab40aa7d47e89bf103d8d1222a4db	91446				Type I extension	{typeI_ext}	{src_infiniumannotation_4}	
zhou-lab/InfiniumAnnotation@v8.1:EPIC/EPIC.hg38.mask.cm	EPIC/EPIC.hg38.mask.cm	28a4d03b714fe84fb64985fd9ed4826c51f7d619e9361d249bbce80e3f0d447e	365760			yes	Recommended probe mask	{mask}	{src_infiniumannotation_4}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/EPIC.hg38.mask.cm.idx	EPIC/EPIC.hg38.mask.cm.idx	bf0ba81485964e805f2c6652e5e1d336c895185c4391f500f23deba7eaa8e593	733			yes	Recommended probe mask	{mask}	{src_infiniumannotation_4}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/ABCompartment.20220911.cm	EPIC/KYCG/ABCompartment.20220911.cm	8409adddd1cc9af9b40aa675c066932a93bedfa10672feada4505f57d45ec584	401447			yes	A/B compartments	{ABCompartment}	{src_gm12878_subcompartments}	{cit_rao}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/Blacklist.20220304.cm	EPIC/KYCG/Blacklist.20220304.cm	3482751b12d943a0ea42ceba244c7c9abdafeccea2492a00026f680bce14fce5	1024			yes	Blacklisted regions	{Blacklist}	{src_encode_blacklist_v2_hg38_enc}	{cit_amemiya}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/CGI.20220904.cm	EPIC/KYCG/CGI.20220904.cm	e5ab587e836d60c6bbaeb6c8005aeee306b0056130eb2111b6233cd38dea6f44	320296			yes	CpG islands	{CGI}	{src_ucsc_genome_browser_cpgislan}	{cit_gardiner_garden_frommer_1987}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/ChromHMM.20220303.cm	EPIC/KYCG/ChromHMM.20220303.cm	37ebdae57c055a60c01bd50ed9d5599a0bc58479dc2a7dc429fd80040f55dfac	472684			yes	Chromatin states	{ChromHMM}	{src_encode_chromatin_state_segme}	{cit_ernst_kellis_2012}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/CTCFbind.20220911.cm	EPIC/KYCG/CTCFbind.20220911.cm	985a609591373d672af84a0a094941e4081239c9006af03f7de97e420ebec371	38289				CTCF binding sites	{CTCFbind}	{src_ctcf_sites_from_wang}	{cit_wang}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/HM.20221013.cm	EPIC/KYCG/HM.20221013.cm	4ceff1553dfe657eb2d172e00fc14e8cc4961c9d1f54251fd4f4b1935e676bc4	2365502			yes	Histone modifications	{HM}	{src_cistrome_data_browser_histon}	{cit_zheng}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/ImprintingDMR.20220818.cm	EPIC/KYCG/ImprintingDMR.20220818.cm	251327619cdd323a39efc295dd263de5533fb74239b8b688ade86b295c564397	2581			yes	Imprinted DMRs	{ImprintingDMR}	{src_court}	{cit_court}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/InfiniumChemistry.cm	EPIC/KYCG/InfiniumChemistry.cm	b0b860ca2d9f778a39934d624be0b6fe57a5892dda7da340b543edf4dd9d47ef	170333				Infinium chemistry	{InfiniumChemistry}	{src_infinium_platform_manifest}	
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/MetagenePC.20220911.cm	EPIC/KYCG/MetagenePC.20220911.cm	9221b563693a499d71d8fcf6a4424ca6ef5a78494a87f45e3c84b7f0571ed94c	1877298			yes	Metagene position	{MetagenePC}	{src_gencode_v36_hg38_vm25_mm10}	{cit_frankish}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/nFlankCG.20220321.cm	EPIC/KYCG/nFlankCG.20220321.cm	d06e17ea155a13decd6b66e3e964b616f3a6d374df974e301529ef59fb98ea8d	660394			yes	Flanking CpG density	{nFlankCG}	{src_derived_from_the_cpg_referen}	
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/PMD.20220911.cm	EPIC/KYCG/PMD.20220911.cm	1df31b1475c068e6e277e9b8ebee9d1deefdcb27596d73d30a56940024cff2c6	195686			yes	Partially methylated domains	{PMD}	{src_zhou_lab_pmd_coordinates}	{cit_zhou_2}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/ProbeType.cm	EPIC/KYCG/ProbeType.cm	50f5c8bae68b089c49d348359a523bdd88f7c5e11b8a52f102604ec6770fc841	99			yes	Probe type	{ProbeType}	{src_infinium_platform_manifest}	
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/REMCChromHMM.20220911.cm	EPIC/KYCG/REMCChromHMM.20220911.cm	a561f69f630b2fced0d6f8c1cd6874bba754cddd7a46e078ddd5ae1c391f857d	470923				Chromatin states, Roadmap	{REMCChromHMM}	{src_nih_roadmap_epigenomics}	{cit_roadmap_epigenomics_consorti}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/rmsk1.20220307.cm	EPIC/KYCG/rmsk1.20220307.cm	e5cc8d88235623b4aea2e79ef02b9d9c75d929358790d7eb7da3712c9cd4a896	195568			yes	Repeats, class	{rmsk1}	{src_ucsc_repeatmasker_track}	{cit_smit}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/rmsk2.20220321.cm	EPIC/KYCG/rmsk2.20220321.cm	e126b5c5a3b55fd349ea4d53a74d2e3c6396d019c326aa814fc97f5de7d1fdc4	278780				Repeats, family	{rmsk2}	{src_ucsc_repeatmasker_track}	{cit_smit}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/Tetranuc2.20220321.cm	EPIC/KYCG/Tetranuc2.20220321.cm	ed32ee6d49f71443c4093d62821e6ff39c629d22f5149da10eba23bb2595de2f	283378				Tetranucleotide context	{Tetranuc2}	{src_derived_from_the_reference_g}	{cit_zhou_2}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/TFBSrm.20221005.cm	EPIC/KYCG/TFBSrm.20221005.cm	d7f430d5d40e0d1b1cd1c82afd6d06480a2748d524c3536d1723e34e34fd6847	36004353				Transcription factor binding sites, ReMap	{TFBSrm}	{src_remap_2022}	{cit_hammal}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/ABCompartment.20220911.cm.idx	EPIC/KYCG/ABCompartment.20220911.cm.idx	58897557f71dfbc08aec972eb05d4fd5340a8222cece8547644530e250af3a29	79			yes	A/B compartments	{ABCompartment}	{src_gm12878_subcompartments}	{cit_rao}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/CGI.20220904.cm.idx	EPIC/KYCG/CGI.20220904.cm.idx	58177bee21bc996cc10cb171498ef1c94a345c5e6afddd2c8d544fabfe33e6f3	64			yes	CpG islands	{CGI}	{src_ucsc_genome_browser_cpgislan}	{cit_gardiner_garden_frommer_1987}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/HM.20221013.cm.idx	EPIC/KYCG/HM.20221013.cm.idx	35e3173a4970123836c5079ace51ea955d2c792d17b50a62bb41457992b8d93f	1698			yes	Histone modifications	{HM}	{src_cistrome_data_browser_histon}	{cit_zheng}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/MetagenePC.20220911.cm.idx	EPIC/KYCG/MetagenePC.20220911.cm.idx	6c372278d5197935d2e20839990eaabfe529d6501a2e3cf0324730e513216e19	762			yes	Metagene position	{MetagenePC}	{src_gencode_v36_hg38_vm25_mm10}	{cit_frankish}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/nFlankCG.20220321.cm.idx	EPIC/KYCG/nFlankCG.20220321.cm.idx	b2be3226cca62c0d046183f319413654b835f27638ec65401b909714330038b8	504			yes	Flanking CpG density	{nFlankCG}	{src_derived_from_the_cpg_referen}	
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/PMD.20220911.cm.idx	EPIC/KYCG/PMD.20220911.cm.idx	7c53dc49fbe19027e3c6d706f3787dbceb937d83049b2aba7c1a301019ae075f	33			yes	Partially methylated domains	{PMD}	{src_zhou_lab_pmd_coordinates}	{cit_zhou_2}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/rmsk1.20220307.cm.idx	EPIC/KYCG/rmsk1.20220307.cm.idx	0a0194bda6aa4f54715e40bde2b7c491c57f35ed60f0f529e446959042ecfc5f	352			yes	Repeats, class	{rmsk1}	{src_ucsc_repeatmasker_track}	{cit_smit}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/rmsk2.20220321.cm.idx	EPIC/KYCG/rmsk2.20220321.cm.idx	cf7d0044c2bc65f0ac706cc996df3fc3cb795f447179677e71673833f3f4dd9d	1103				Repeats, family	{rmsk2}	{src_ucsc_repeatmasker_track}	{cit_smit}
zhou-lab/InfiniumAnnotation@v8.1:EPIC/KYCG/TFBSrm.20221005.cm.idx	EPIC/KYCG/TFBSrm.20221005.cm.idx	26b91319b7d1d72b17e23661ec315a0a754403b9654ac629d0aa86255ebe434b	23486				Transcription factor binding sites, ReMap	{TFBSrm}	{src_remap_2022}	{cit_hammal}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/EPICv2.ordering.tsv.gz	EPICv2/EPICv2.ordering.tsv.gz	52f8c45dc9d90c59367e020489a295b4b0c4f434e20930c44fe6cc079ba2de7d	8546436	937690	array	yes	Probe ordering	{ordering}	{src_infiniumannotation}	
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/EPICv2.hg38.coord.tsv.gz	EPICv2/EPICv2.hg38.coord.tsv.gz	6c2213eff46a14a1cb414f60b2f12ec25bfce949c2419498a919c316aa9be12e	5728827			yes	Probe coordinates	{coord}	{src_infiniumannotation_2}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/EPICv2.hg38.snp.tsv.gz	EPICv2/EPICv2.hg38.snp.tsv.gz	e4cef2b827abd0a6173c22715f56451f0e01722a5c32f2c8fe7077381220ee17	1631893				SNP overlap	{snp}	{src_infiniumannotation_3}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/EPICv2.typeI_ext.tsv.gz	EPICv2/EPICv2.typeI_ext.tsv.gz	4872dab7ec1e8db7ed99c24a3990137478bdd8b659ea60f821230eb352692938	89958				Type I extension	{typeI_ext}	{src_infiniumannotation_4}	
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/EPICv2.hg38.mask.cm	EPICv2/EPICv2.hg38.mask.cm	7463ce67bb26904e8ef236f1befffbac8db1c2e4ac07fc3d6d7eb2b8072782d0	301037			yes	Recommended probe mask	{mask}	{src_infiniumannotation_4}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/EPICv2.hg38.mask.cm.idx	EPICv2/EPICv2.hg38.mask.cm.idx	00b94541b3c8083d65e861ca1ccae1dc9a1093172591ea9c4dc539f3eadd290e	760			yes	Recommended probe mask	{mask}	{src_infiniumannotation_4}	{cit_zhou}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/ABCompartment.20220911.cm	EPICv2/KYCG/ABCompartment.20220911.cm	6a16dfdaea362cf08a5109de2a3db11872747eefb8763ed816edc4b32d7abc62	429646			yes	A/B compartments	{ABCompartment}	{src_gm12878_subcompartments}	{cit_rao}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/CGI.20220904.cm	EPICv2/KYCG/CGI.20220904.cm	e98a31229f7661195a626eda5490bf00f56e701896ad01b780f643268ab2c826	334456			yes	CpG islands	{CGI}	{src_ucsc_genome_browser_cpgislan}	{cit_gardiner_garden_frommer_1987}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/ChromHMM.20220303.cm	EPICv2/KYCG/ChromHMM.20220303.cm	fca78dadf3388f5bcd9af60e08fbd443c42b89951d86b40edc8d7e97a0c8a209	497071			yes	Chromatin states	{ChromHMM}	{src_encode_chromatin_state_segme}	{cit_ernst_kellis_2012}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/CTCFbind.20220911.cm	EPICv2/KYCG/CTCFbind.20220911.cm	05c54e264e5b8612bd4540219767c5eca598e80ceeb2816493b691f750842161	43704				CTCF binding sites	{CTCFbind}	{src_ctcf_sites_from_wang}	{cit_wang}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/HM.20221013.cm	EPICv2/KYCG/HM.20221013.cm	31f719b3b0f56aef1e8b49f5f30e58c3b4e73dd34901d761272262e8b94b406b	2435825			yes	Histone modifications	{HM}	{src_cistrome_data_browser_histon}	{cit_zheng}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/ImprintingDMR.20220818.cm	EPICv2/KYCG/ImprintingDMR.20220818.cm	f050428048aab8dd37fe74b1e900e501ead7e8fc1b265ce152f2e733717d0a29	2455			yes	Imprinted DMRs	{ImprintingDMR}	{src_court}	{cit_court}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/InfiniumChemistry.cm	EPICv2/KYCG/InfiniumChemistry.cm	42784479915a0b2db51c2519e61f6d326a3d637162fcc0d67789fe3056e83373	161445				Infinium chemistry	{InfiniumChemistry}	{src_infinium_platform_manifest}	
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/MetagenePC.20220911.cm	EPICv2/KYCG/MetagenePC.20220911.cm	11b7166790d320bbc14897d4240653f8585d0f419cf9c580127661c8657e79af	2011122			yes	Metagene position	{MetagenePC}	{src_gencode_v36_hg38_vm25_mm10}	{cit_frankish}
zhou-lab/InfiniumAnnotation@v8.1:EPICv2/KYCG/nFlankCG.20220321.cm	EPICv2/KYCG/nFlankCG.20220321.cm	06ee3efae120e25330b6fd34939cae07731e3101be954fb957f4ca3739367168	643034			yes	Flanking CpG density	{nFlankCG}	{src_derived_from_the_cpg_referen}	
